name,png_sha1,ctxr_sha1,pil_png_sha1,mc_alpha_adjusted_sha1
00004ad1,672be33b525ed443a1fef548c16b3cb7e849d9af,6f5e060ec6a3dbaadb372d9707c40fb522842241,35a42adf3f7542d7378c3ef357750bfce154d99a,35a42adf3f7542d7378c3ef357750bfce154d99a
000062b9,4097e73c30a1cbf2f18480d587905e7f0ee12f25,f8150d75302ce57f4b75c311d5ab2b3904be6c5b,b6a341fb66d5ce39ecf8bc6645a7958b0e1171e5,30c51c1f46d67ce954c683bfd3c2b37754d387b1
00006739,b787d5ea0f1e6adfcbc4b79860071a36c509ec17,fb582fa2f38b316f126bed166a5c3a68c86b71e9,dad45dccba5854dab49791ec98daab7ce6a69c51,dcf56a6cf5bcf5b308bf8632c7352767ab796dfe
00024ad1,584ab5bbbb3841cd558ea1cf1874cc2c14581c0c,9dc07e2b72e894d3bb45b9be53c2f9caecb08445,110741f11774f1c49135b38959c0972b6d8a4a72,110741f11774f1c49135b38959c0972b6d8a4a72
0002936b,565cb23b61bf5a42afc751a3b94c28c061405f4b,33e3a62ae5479ebfba53b38291261b94b476fc79,1c0fc94e27b845606b7d7468e759d53aad580656,1c0fc94e27b845606b7d7468e759d53aad580656
0002cca2,b785a6ee61d271ed1ddc1b73045c5959785174ab,82370310a0e8869e1445128206a7f881d5e5c1c6,3895f8c2ebacf3e324faebd68a6e7d691110a643,3895f8c2ebacf3e324faebd68a6e7d691110a643
0003c3de,1541ce8537a339a82c42a1f6be585aa57789c566,ea2becfbc532a4ff85400ae8c2ab335440769d02,7d2917a181c68180d7f1cf776b68735428a5726e,7d2917a181c68180d7f1cf776b68735428a5726e
00058f79,7fccbcb3be0c83a111f9648a8f3ebe88d4d6635d,9b6dde48c7e6b8cd51024aa09a603d116274f923,5a564af138f6cbfb00e58f600a074bf1ef24acc3,5a564af138f6cbfb00e58f600a074bf1ef24acc3
00065bbe,e669dd51f8b7c8cba22ed699c5e4beeee8fefbb9,1c0ae93b78d8964cf8f984956b60416de73454ba,7f9fb8312188390547223db0bb0c23ea6d52b9b7,7f9fb8312188390547223db0bb0c23ea6d52b9b7
00068f79,98bcb44cba86c51d7a4673603d129808551fc7eb,9a4fdaf4b3d9c56d7ed53c07dc8a506127f44803,a4039a4635f6d3f0805861aeaaadb606d556ce4d,a4039a4635f6d3f0805861aeaaadb606d556ce4d
00075bbe,696a60ef51ea6780c1d4bf3d7a53d1a1b6e007e9,f0070669ef91b2c3246f15644996096b689199ce,651c57893021cb5119fb537732ffd6584c1ee9c5,651c57893021cb5119fb537732ffd6584c1ee9c5
00078f79,a79299c946e38701ff84ac2e8eec13072c8e9159,226664ab803b786d4411f7608d1cf4264b767a12,2f320cf26c1c64673ea1bd3707dd894e8423ef32,2f320cf26c1c64673ea1bd3707dd894e8423ef32
0007bc34,34926d0c145564bab387e60d75b9a2099be93aee,21223d1d994245aa3e4fad2d6fd606415c52de2f,a55434c6ef0c51437f1e4d3ec12afddac0fcc172,a55434c6ef0c51437f1e4d3ec12afddac0fcc172
00085bbe,579329cb7cb48a5fa6850fe509df39405fcfcccd,def0c0fef7cc89426a106375014764d22144bfb2,1a824f732fc5699ae2febfe665b4d82964a6d40d,1a824f732fc5699ae2febfe665b4d82964a6d40d
000897ee,a7f9938dba28ebc1bc21832a8abf37ce9fb592ef,639f45407a134aa655570414d46071a874a8e9e3,c7da1203a7d97f1ac7acec73a1a19f663304e76b,dd5e40854341fbb26b96a6b4b15246238ee6ed70
0008bc34,d641694f095bed600a33dbc3f86f14381e6d029f,31e0b62ada5c7a634a73f47184f6df7876af28ce,09e4fe586e1d061caa715b19a07ecc8797c527ad,09e4fe586e1d061caa715b19a07ecc8797c527ad
0009bc34,53a3f245b06697fa834148004223656ad5bedfda,f498b137335cdcd5d644e410015220f94b68159f,e01da6390ef9b421487fac01e75d379be7d34403,e01da6390ef9b421487fac01e75d379be7d34403
0009f66f,7900fdd39d2e354c8ea899a15973cf73a296cbb6,70e6e517c877c7b399bf2b5256d42ef0147c742e,54b5eb22d7652ce134693609ee7ae949257b0977,54b5eb22d7652ce134693609ee7ae949257b0977
000aa7de,47a66f898db2631a44bdd99cc8b6d813ae042354,220b070c35351df2cef1b38073e106ddff4ae0dd,02efb444fdf770aaaa2a35842a31e80c4ee0b46f,02efb444fdf770aaaa2a35842a31e80c4ee0b46f
000cc716,0d4bc0744770e215f5a4ac677cb3ba61fe5472c8,825292d13e46dbbf1e3722dae89880ddb8e16cb9,24288376fd9af63e4f72f7d4b37d9357973b6d3b,24288376fd9af63e4f72f7d4b37d9357973b6d3b
000ccd6b,08b0fdaaf6e037fedb2fbd78d570946b63f0c916,73ab428658ee66dc1e85f2e9ec50e0dddeee2a53,c36c117b4e5b9e7781535a78b259ca1e214f1322,c36c117b4e5b9e7781535a78b259ca1e214f1322
001087b3,41fadc60229c30ace7ceccac0d0967006c4a1d83,2bade0ee30f8dfb24c716a10ef913bc675fcf994,ad894791bbdd5cc52760e4044459db733d1d7a71,ad894791bbdd5cc52760e4044459db733d1d7a71
0010e123,53ce553987e5e876d7d5524b1cbd541abd570b78,66ccf2fadbd7a3e2d11b773d9d8d60a32c853768,fe87226bbf0171153e905f700475fb9f7a56a412,fe87226bbf0171153e905f700475fb9f7a56a412
001187b3,e0c1b50353e6b38be466e280d4fb094ee95b5bfd,ef25ab92233421bd88c4e163c8ea506c122cb5b3,87612bf1dc6ebece29eb203aaee26cd59f703abe,87612bf1dc6ebece29eb203aaee26cd59f703abe
0013547f,a477cc8c8d3b7a9080c12177656b85077b9e6f20,0bf1ad75aece2b4bc2f2073ad5113920ff74ef99,b2eee11aaea4fa8e353dc00e8c41df41f9fa7055,b2eee11aaea4fa8e353dc00e8c41df41f9fa7055
0014547f,ab19b066e964c20442a1f00387c753fa18c79d95,003ddd58910fbb2189fb573df9c03502600de485,926a7556b98dd8e20865da268c035e2b2695eda1,926a7556b98dd8e20865da268c035e2b2695eda1
001463f1,ce013b3413c72505340aba8d8633d0a2ceb608fb,802d775a79885829df603d483f664c4d34307ff4,b2d3b0e7582aaaed4e44e415eb14a2ec3b67f41f,b2d3b0e7582aaaed4e44e415eb14a2ec3b67f41f
0015547f,59b0f54cd69a8abe5a27c76e3f258fa96f0ac041,b200cf48dc8e189321956252dccab653693d3c22,58f61344b829413f679260a56d3b8be10abcfe57,58f61344b829413f679260a56d3b8be10abcfe57
0016852b,e1be15d9ef91e91e2bdc713c4a3e2e4a9ce5319f,e5a9707897927d660bfb7a176503ec30e06fbf63,8a24ce9a088a87b012bf2b36bbbd2d22e75be36f,8a24ce9a088a87b012bf2b36bbbd2d22e75be36f
0016bbf5,41b3afeaf7f7c3ce21458036fbd112892e2cfa57,aca5982133d9659b6ee3d251d68b60c948a6874c,3b87b4975306f9ad17fe7ab0743f43ad927c3f4a,3b87b4975306f9ad17fe7ab0743f43ad927c3f4a
0017bbf5,d03b1952bd52257ce8700e73922109784b714428,09ef2ca6fc1050b41c4f177b24e563ac9afcaf42,dc6cf2d46d3c49a8e190b292e8ebff1e6807536e,dc6cf2d46d3c49a8e190b292e8ebff1e6807536e
001a8739_9b95ed97d41ce0c9da24766f77e0bf35,95b2326aabc90ad460ee96b849392e7330f5a6b4,c4704821c744702a290087921a19520b18609fcd,243e38c72c410ed8d0070ff91bf05615cf50eeb0,243e38c72c410ed8d0070ff91bf05615cf50eeb0
001bb358,bd4f30b47f93868e7b5c8f8cbcc4d45c23691d1f,3b4427ae480386b7c55342554524029c7f3e9aec,c3e868d8763d135694ce26cefa116b59d4c71064,c3e868d8763d135694ce26cefa116b59d4c71064
001cd071,ff6c0b492c828dedccf65d4197318015f6a82574,2211ef7886b9894e95b2b564373cab46136ca4d2,c39de554b8f0aa4476d48f547a41621ece31d25b,c39de554b8f0aa4476d48f547a41621ece31d25b
0020fb52,c2dd1baff70c5f98a14e8e78717d6b342f96869d,c6a4645aac4baeac1dedf824828443f8892e8893,b5143c27602a6213c57c465976aa5472aa96c9a8,b5143c27602a6213c57c465976aa5472aa96c9a8
00232162,af239b6f99ebdf2e680d6ec4d1b1e5daa3bfa9cf,2d194323181cb2c207589e4c5ec138b68865eea3,480e78ab6ef859ebc636d1b726b8218c8fd6535e,99493e8406383f4f220ff80b8793c68a31339824
